,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind
21890,AL011950,ABLE,19500814,1800,  ,HU,23.9N,66.0W,65
21891,AL011950,ABLE,19500815,0,  ,HU,24.4N,66.2W,65
21892,AL011950,ABLE,19500815,600,  ,HU,24.8N,66.5W,65
21893,AL011950,ABLE,19500815,1200,  ,HU,25.2N,66.8W,70
21894,AL011950,ABLE,19500815,1800,  ,HU,25.5N,67.5W,75
21895,AL011950,ABLE,19500816,0,  ,HU,25.7N,68.1W,80
21896,AL011950,ABLE,19500816,600,  ,HU,25.7N,68.7W,80
21897,AL011950,ABLE,19500816,1200,  ,HU,25.5N,69.3W,80
21898,AL011950,ABLE,19500816,1800,  ,HU,25.4N,69.8W,85
21899,AL011950,ABLE,19500817,0,  ,HU,25.4N,70.6W,90
21900,AL011950,ABLE,19500817,600,  ,HU,25.4N,71.5W,95
21901,AL011950,ABLE,19500817,1200,  ,HU,25.5N,72.6W,100
21902,AL011950,ABLE,19500817,1800,  ,HU,25.9N,73.3W,100
21903,AL011950,ABLE,19500818,0,  ,HU,26.7N,73.9W,100
21904,AL011950,ABLE,19500818,600,  ,HU,27.3N,74.4W,100
21905,AL011950,ABLE,19500818,1200,  ,HU,27.9N,74.9W,100
21906,AL011950,ABLE,19500818,1800,  ,HU,28.4N,75.3W,105
21907,AL011950,ABLE,19500819,0,  ,HU,29.1N,75.5W,105
21908,AL011950,ABLE,19500819,600,  ,HU,29.9N,75.5W,105
21909,AL011950,ABLE,19500819,1200,  ,HU,30.7N,75.5W,105
21910,AL011950,ABLE,19500819,1800,  ,HU,31.7N,75.5W,110
21911,AL011950,ABLE,19500820,0,  ,HU,32.8N,75.2W,110
21912,AL011950,ABLE,19500820,600,  ,HU,34.4N,74.3W,105
21913,AL011950,ABLE,19500820,1200,  ,HU,36.0N,72.7W,100
21914,AL011950,ABLE,19500820,1800,  ,HU,37.6N,71.0W,90
21915,AL011950,ABLE,19500821,0,  ,HU,39.3N,69.4W,80
21916,AL011950,ABLE,19500821,600,  ,HU,41.2N,67.3W,70
21917,AL011950,ABLE,19500821,1200,  ,HU,43.3N,65.0W,65
21918,AL011950,ABLE,19500821,1600, L,HU,44.6N,63.7W,65
21940,AL021950,BAKER,19500821,0,  ,HU,16.6N,58.8W,65
21941,AL021950,BAKER,19500821,600,  ,HU,16.8N,59.8W,70
21942,AL021950,BAKER,19500821,1200,  ,HU,16.9N,60.6W,70
21943,AL021950,BAKER,19500821,1800,  ,HU,17.0N,61.0W,75
21944,AL021950,BAKER,19500822,0,  ,HU,17.0N,61.4W,85
21945,AL021950,BAKER,19500822,600,  ,HU,16.9N,61.8W,75
21972,AL021950,BAKER,19500829,0,  ,HU,23.5N,87.7W,65
21973,AL021950,BAKER,19500829,600,  ,HU,23.7N,88.0W,75
21974,AL021950,BAKER,19500829,1200,  ,HU,23.9N,88.3W,80
21975,AL021950,BAKER,19500829,1800,  ,HU,24.1N,88.4W,85
21976,AL021950,BAKER,19500830,0,  ,HU,24.7N,88.6W,90
21977,AL021950,BAKER,19500830,600,  ,HU,25.7N,88.8W,90
21978,AL021950,BAKER,19500830,1200,  ,HU,27.0N,89.0W,90
21979,AL021950,BAKER,19500830,1800,  ,HU,28.2N,88.7W,85
21980,AL021950,BAKER,19500831,0,  ,HU,29.4N,88.2W,75
21981,AL021950,BAKER,19500831,300, L,HU,30.2N,88.0W,75
21982,AL021950,BAKER,19500831,400, L,HU,30.7N,87.9W,75
22016,AL031950,CHARLIE,19500828,0,  ,HU,22.3N,53.7W,65
22017,AL031950,CHARLIE,19500828,600,  ,HU,23.8N,54.6W,70
22018,AL031950,CHARLIE,19500828,1200,  ,HU,25.0N,55.5W,75
22019,AL031950,CHARLIE,19500828,1800,  ,HU,26.1N,56.4W,80
22020,AL031950,CHARLIE,19500829,0,  ,HU,27.1N,57.1W,80
22021,AL031950,CHARLIE,19500829,600,  ,HU,28.3N,57.3W,80
22022,AL031950,CHARLIE,19500829,1200,  ,HU,29.5N,57.5W,85
22023,AL031950,CHARLIE,19500829,1800,  ,HU,30.4N,57.5W,90
22024,AL031950,CHARLIE,19500830,0,  ,HU,31.2N,57.1W,90
22025,AL031950,CHARLIE,19500830,600,  ,HU,31.9N,56.6W,90
22026,AL031950,CHARLIE,19500830,1200,  ,HU,32.5N,56.1W,90
22027,AL031950,CHARLIE,19500830,1800,  ,HU,32.8N,56.0W,90
22028,AL031950,CHARLIE,19500831,0,  ,HU,32.9N,56.2W,90
22029,AL031950,CHARLIE,19500831,600,  ,HU,32.8N,56.4W,90
22030,AL031950,CHARLIE,19500831,1200,  ,HU,32.8N,56.7W,95
22031,AL031950,CHARLIE,19500831,1800,  ,HU,32.8N,57.3W,95
22032,AL031950,CHARLIE,19500901,0,  ,HU,32.8N,57.9W,95
22033,AL031950,CHARLIE,19500901,600,  ,HU,32.7N,58.4W,90
22034,AL031950,CHARLIE,19500901,1200,  ,HU,32.6N,58.9W,85
22035,AL031950,CHARLIE,19500901,1800,  ,HU,32.7N,59.5W,85
22036,AL031950,CHARLIE,19500902,0,  ,HU,33.0N,60.1W,80
22037,AL031950,CHARLIE,19500902,600,  ,HU,33.3N,60.7W,80
22038,AL031950,CHARLIE,19500902,1200,  ,HU,33.7N,61.2W,75
22039,AL031950,CHARLIE,19500902,1800,  ,HU,34.3N,61.4W,75
22040,AL031950,CHARLIE,19500903,0,  ,HU,34.9N,61.5W,75
22041,AL031950,CHARLIE,19500903,600,  ,HU,35.4N,61.3W,75
22042,AL031950,CHARLIE,19500903,1200,  ,HU,36.0N,61.0W,75
22043,AL031950,CHARLIE,19500903,1800,  ,HU,36.3N,60.7W,70
22044,AL031950,CHARLIE,19500904,0,  ,HU,36.6N,60.1W,65
22045,AL031950,CHARLIE,19500904,600,  ,HU,37.1N,59.3W,65
22051,AL041950,DOG,19500830,1800,  ,HU,15.2N,55.6W,80
22052,AL041950,DOG,19500831,0,  ,HU,15.5N,56.9W,90
22053,AL041950,DOG,19500831,600,  ,HU,15.9N,58.1W,100
22054,AL041950,DOG,19500831,1200,  ,HU,16.2N,59.2W,110
22055,AL041950,DOG,19500831,1800,  ,HU,16.5N,60.1W,115
22056,AL041950,DOG,19500901,0,  ,HU,16.8N,60.9W,115
22057,AL041950,DOG,19500901,600,  ,HU,17.2N,61.7W,115
22058,AL041950,DOG,19500901,1200,  ,HU,17.7N,62.4W,110
22059,AL041950,DOG,19500901,1800,  ,HU,18.2N,63.1W,105
